,Acrolect,Creole_word,Creole_name
315,juridiction, jiridiksyon ,Martinique
316,juridique, jiridique ,Martinique
317,juriste, jiris ,Martinique
318,kilo, tjilo ,Martinique
319,kilomètre, tjilomèt ,Martinique
320,laid, lèd ,Martinique
321,laideur, lédè ,Martinique
322,laideron, tètzoto ,Martinique
323,lapin, lapen ,Martinique
324,large, laj ,Martinique
325,largeur, lajè ,Martinique
326,lecteur, lèktè ,Martinique
327,lèsbienne, zanmiyèz ,Martinique
328,lettre, lèt ,Martinique
329,libellule," marisosé, dimwazèl ",Martinique
330,limon, lali ,Martinique
331,lire, li ,Martinique
332,lit, kabann ,Martinique
333,lit à colonnes, zizimtolé ,Martinique
334,locataire, lokatè ,Martinique
335,louche (œil) ," loli, zyé-loli ",Martinique
336,louer, lwé ,Martinique
337,loup, lou ,Martinique
338,lourd, lou ,Martinique
339,lymphatique, môlpi ,Martinique
340,maire, mè ; li-mè ,Martinique
341,maître, mèt ,Martinique
342,maîtresse, métrès ,Martinique
343,maîtresse-femme, malfanm ,Martinique
344,marchande, machann ,Martinique
345,marchander, marchandé ,Martinique
346,marché," maché, mawché ",Martinique
347,marcher, maché ,Martinique
348,machine, machin ,Martinique
349,machoire, machwè ,Martinique
350,malad, malad ,Martinique
351,maladie, maladi ,Martinique
352,malfaiteur, malfétè ,Martinique
353,malheur, malè ,Martinique
354,malheureux, maléré ,Martinique
355,malin, malen ,Martinique
356,maman, manman ,Martinique
357,manger, manjé ,Martinique
358,mangeur, manjè ,Martinique
359,mangouste ," mangous, manglous ",Martinique
360,marbre, mab ,Martinique
361,mare, ma ,Martinique
362,marque, mak ,Martinique
363,massacre," masak, dépotjilaj, dérayaj ",Martinique
364,massacrer," masakré, dépotjolé, dérayé ",Martinique
365,maudire, modi ,Martinique
366,maudit, modi ,Martinique
367,mauvais, mové ,Martinique
368,mendiant, mandyannè ,Martinique
369,mendier, mandyanné ,Martinique
370,mensonge," mansonj, mantri, mantézon ",Martinique
371,menteur, mantè ,Martinique
372,mentir, manti ,Martinique
373,mesure, mizi ,Martinique
374,mesurer, miziré ,Martinique
375,miette, chiktay ,Martinique
376,militaire, militè ,Martinique
377,misérable, mirézab ,Martinique
378,misérabiliste, misérabilis ,Martinique
379,misère," lanmizè, misère ",Martinique
380,moeurs, mès ,Martinique
381,moiré," sousoun-klérant, sousoun-kléré ",Martinique
382,moquer, motjé ,Martinique
383,moqueur, motjè ,Martinique
384,monter, monté ,Martinique
385,morceau, môsô ,Martinique
386,mort, mounmô ; mô ,Martinique
387,morue, lanmori ,Martinique
388,moteur, motè,Martinique
389,mouchoir, mouchwè ,Martinique
390,mouchoir de tête," mouchwè-tèt, madras ",Martinique
391,moulin, moulen ,Martinique
392,mourir, mô ,Martinique
393,mouton, mouton ,Martinique
394,muscle, miks ,Martinique
395,musclé, misklé ,Martinique
396,myope ," koki, zyé-koki ",Martinique
397,mystère, mistè,Martinique
398,naître," né, nèt ",Martinique
399,narine,  zel-nen ,Martinique
400,nécessaire, nésésè ,Martinique
401,nécessité, nésésité ,Martinique
402,nègre," nèg, nèg-nwè ",Martinique
403,nénuphar, chapo-dlo ,Martinique
404,neveu, nivé ,Martinique
405,nez, nen ,Martinique
406,nièce," nyès, niyès ",Martinique
407,noce, nôs ,Martinique
408,noceur," banbochè, kranè, féta ",Martinique
409,noir, nwè ,Martinique
410,noirceur, nwèsè ,Martinique
411,nouveau, nouvo ,Martinique
412,noyer (se), néyé ,Martinique
413,nuage, niyaj ,Martinique
414,occupation, otjipasyon ,Martinique
415,occuper (s'), otjipé ,Martinique
416,offrande, ofwann ,Martinique
417,offrir, ofè ,Martinique
418,ongle, zong ,Martinique
419,orange," zoranj, zowanj ",Martinique
420,ordure, zòdi ,Martinique
421,oreiller, zowyé ,Martinique
422,orteil, zotèy ,Martinique
423,ortolan, zòtolan ,Martinique
424,os, zo ,Martinique
425,ossature, zobray ,Martinique
426,ours, lous ,Martinique
427,panier," panyen, pannyé ",Martinique
428,panser, pansé ,Martinique
429,pantin," bélévan, bwabwa ",Martinique
430,pantouf, pantoufle ,Martinique
431,parapluie, parapli ,Martinique
432,pardon, padon ,Martinique
433,pardonner, padonnen ,Martinique
434,parent, paran ,Martinique
435,parler, palé ,Martinique
436,pasteur, pastè ,Martinique
437,patience, pasyans ,Martinique
438,patrimoine, matjoukann ,Martinique
439,pauvre, pôv ,Martinique
440,payer, péyé ,Martinique
441,payeur, péyè ,Martinique
442,peau, lapo ,Martinique
443,peindre, penn ; pentiré ,Martinique
444,peigne," peny, penn ",Martinique
445,peigner, penyen ,Martinique
446,peintre, pent ,Martinique
447,peinture (bâtiment), lapenti ,Martinique
448,peinture (art), penti ,Martinique
449,pendant," pannan, pandan ",Martinique
450,penser, pansé ,Martinique
451,père, papa ; pè ,Martinique
452,père (religieux)," pè, monpè ",Martinique
453,peser, pézé ,Martinique
454,pet, pété ,Martinique
