,word,creole_word,creole name
539,hurry,"kouri, prese",hatian
540,run away v.,kouri ale bè rout,hatian
541,run,kouri,hatian
542,course n,kous,hatian
543,race (contest) n,kous,hatian
544,cushion,kousen,hatian
545,concise,kout,hatian
546,anger,kout san,hatian
547,salute,kout chapo,hatian
548,concise,kout,hatian
549,lash,kout fwèt,hatian
550,stroke n,kout san,hatian
551,anger n,kout san,hatian
552,culture,koutcha,hatian
553,cost v,koute,hatian
554,listen v.,koute,hatian
555,regard n,koutje,hatian
556,knife,kouto,hatian
557,jab,koutpwen,hatian
558,courteous,koutwa,hatian
559,broker,koutye,hatian
560,cover n,"kouvèti, proteksyon",hatian
561,lid,"kouvèti, bouchon",hatian
562,quilt,"kouvèti, lenn",hatian
563,blanket,kouvèti,hatian
564,coat v,kouvri ak kouch,hatian
565,cover v,kouvri,hatian
566,cousin (male),kouzen,hatian
567,cousin (female),kouzin,hatian
568,cause,"kòz, lakòz, rezon",hatian
569,chat v,koze,hatian
570,conversation,koze,hatian
571,talk n,koze,hatian
572,talk v,koze,hatian
573,saliva,krache,hatian
574,spit v,krache,hatian
575,crack n,"krak, fant",hatian
576,creak,krake,hatian
577,kanpe - stand v,"kranpe, (up) leve",hatian
578,clamp,kranpon,hatian
579,frog,krapo,hatian
580,dirt,"kras, pousyè, salte",hatian
581,filth,kras,hatian
582,stingy,kras,hatian
583,(n) tie,kravat,hatian
584,break v.,"kraze, brize, separe",hatian
585,quash,"kraze, toufe",hatian
586,frazzle,"kraze, erente",hatian
587,"brize - evil, to d",kraze,hatian
588,crash,kraze,hatian
589,(v) crush,kraze,hatian
590,destroy,kraze,hatian
591,(v) mash,kraze,hatian
592,mash,kraze,hatian
593,(v) run over,kraze,hatian
594,(v) smash,kraze,hatian
595,(v) squash,kraze,hatian
596,hollow,kre,hatian
597,(n) credit,kredi,hatian
598,(v) credit,kredite,hatian
599,creed,kredo,hatian
600,cream,krèm,hatian
601,being,"kretyen, etan",hatian
602,being,"kretyen, etan",hatian
603,human being,kretyen vivan,hatian
604,Christian,kretyen,hatian
605,creature,kretyen,hatian
606,creature,"kreyati, kretyen",hatian
607,create,kreye,hatian
608,authentic Creole,Kreyòl natif natal,hatian
609,Creole,kreyòl,hatian
610,pencil,kreyon,hatian
611,crude adj,"kri, grosye",hatian
612,raw,kri,hatian
613,crayfish,kribich,hatian
614,jug,krich,hatian
615,pitcher,krich,hatian
616,crime,krim,hatian
617,felon,kriminel,hatian
618,avaricious,"kripya, ava",hatian
619,(v) crucify,krisifye,hatian
620,(v) cry,kriye,hatian
621,(v) sob,kriye,hatian
622,weep,kriye,hatian
623,yell,kriye,hatian
624,bow,kriz,hatian
625,bent over,krocha,hatian
626,askew,krochi,hatian
627,crooked,krochi,hatian
628,skew,krochi,hatian
629,crumb,"krout, myèt",hatian
630,crust,krout,hatian
631,rind,krout,hatian
632,excite,ksite,hatian
633,thigh,kuis,hatian
634,brass,"kuiv, leton",hatian
635,copper,kuiv,hatian
636,cross,kwa,hatian
637,barber,kwafè,hatian
638,(v) breed,"kwaze, elve",hatian
639,(v) cross,kwaze,hatian
640,cross,kwaze,hatian
641,cruise,kwazyè,hatian
642,believe,kwè,hatian
643,think,kwè,hatian
644,edge,"kwen, bout",hatian
645,(n) corner,kwen,hatian
646,"(v) corner, to squeeze",kwense (bare),hatian
647,(n) leather,kwi (tchwi),hatian
648,(n) calabash bowl,kwi,hatian
649,(n) thigh,kwis,hatian
650,scalp,kwit tèt,hatian
651,"cook, cooked",kwit,hatian
652,copper,kwiv (kuiv),hatian
653,tripping,kwochèt,hatian
654,(n) hook (of doors),kwochèt,hatian
655,crookedly,kwochi,hatian
656,hook,"kwòk, zen, (v) kwoke",hatian
657,fang,"kwòk, dan",hatian
658,embrace,kwoke,hatian
659,hang up,kwoke,hatian
660,croak (frog sounds),kwòt-kwòt,hatian
661,(v) hook,kwoke,hatian
662,cruel,kyiyèl (mechan),hatian
663,(n) kiosk,kyòs,hatian
