word,creole_word,creole name
around,anviron (anviwon),Haitian
expect,alatant,Haitian
vice versa,ale pou vini,Haitian
finally,alè ki le (finalman),Haitian
there and back,ale-retou,Haitian
go,ale,Haitian
lure,aleche (fè lasisiy),Haitian
apart,aleka,Haitian
"apart, seperate",separe,Haitian
presently,alèkile (kounye-a),Haitian
relief,alemye,Haitian
breath,alèn (souf),Haitian
"east, east-end, in the east, east-side",alès,Haitian
abroad,aletranje,Haitian
allies,alèz,Haitian
alphabet,alfabè,Haitian
hawk,alfini,Haitian
power,alimante,Haitian
match,alimèt (match),Haitian
range,aliyen (klase),Haitian
allusion,alizyon (sipoziyon),Haitian
 German,alman,Haitian
then ,alò (atò) ,Haitian
 so," alò (sitèlman, otan) ",Haitian
algebra,aljèb,Haitian
alter,altere,Haitian
"west, west-end, west side, in the west",alwès,Haitian
compound,alyaj,Haitian
compound,alyaj,Haitian
ally,alye,Haitian
merge,amalgame,Haitian
casing,aman,Haitian
fine,amann,Haitian
amateur,amatè,Haitian
arm,ame,Haitian
army,ame,Haitian
improvement,amelyorasyon,Haitian
improve,amelyore,Haitian
amenity,amenajman,Haitian
reduce,amensi,Haitian
Latin America,Amerik Latin,Haitian
American,ameriken,Haitian
 fun,amizan,Haitian
amuse,amize,Haitian
entertain,amize,Haitian
fun,amizman (plezi),Haitian
deaden,amòti (mouri),Haitian
love,amou,Haitian
in,an,Haitian
in order,an règ,Haitian
let's go,an alè,Haitian
across from,an fas,Haitian
at the same time,an menm tan,Haitian
in general,an jeneral,Haitian
in France,an Frans,Haitian
illiterate,analfabèt,Haitian
pineapple,anana (zannanna),Haitian
bottom,anba (bounda),Haitian
down there,anba-a,Haitian
below,anba,Haitian
beneath,anba,Haitian
down,anba,Haitian
under,anba,Haitian
illicit,anbachal,Haitian
board,anbake,Haitian
bale,anbale,Haitian
perplex,anbarase,Haitian
embassy,anbasad,Haitian
ambassador,anbasadè,Haitian
underground,anbatè,Haitian
stomach,anbativant (lestomak),Haitian
bother,"  anbete (traka, nwi) ",Haitian
annoy,anbete,Haitian
tease,anbete,Haitian
ravel,anbouye,Haitian
embrace,anbrase (kwoke),Haitian
assign,anchaje,Haitian
rapt,anchante (antouzyas),Haitian
in,"  andedan (a, an) ",Haitian
inside,andedan,Haitian
within,andedan,Haitian
external,andeyò,Haitian
handicap,andikap,Haitian
disable,andikape (enfim),Haitian
endurance,andirans,Haitian
anesthetize,andòmi (anestezi),Haitian
sedate,andòmi,Haitian
sleep (to put to sleep),andòmi,Haitian
jam,andouteyaj,Haitian
place n,andwa,Haitian
year,ane (lane),Haitian
anesthetize,anestezi,Haitian
anesthesia,anestezi,Haitian
behalf,anfavè,Haitian
emphasis,anfaz,Haitian
finally,"  anfen (a la fen, alè ki le, finalman) ",Haitian
swell,anfle,Haitian
 fine,anfòm (fen),Haitian
engage,angaje (foure),Haitian
involvement,angajman,Haitian
angle,angl (aspè),Haitian
English,angle,Haitian
cancel,anile,Haitian
animal,"  animal (zannimo, bèt, animo) ",Haitian
host,animatè (mètkay),Haitian
brisk,anime,Haitian
animal,animo,Haitian
anniversary,anivèsè,Haitian
birthday,anivèsè,Haitian
pleasant,anizan,Haitian
quart,"  anka (ka galon, ka) ",Haitian
frame,ankadreman,Haitian
none,ankal,Haitian
numb,ankiloze (dòmi),Haitian
include,ankli,Haitian
including,ankli,Haitian
yet,anko (toujou),Haitian
anew,ankò (anouvo),Haitian
afresh,ankò (a nouvo),Haitian
again,ankò,Haitian
crowd,ankonbre,Haitian
overcome,ankonbre,Haitian
cheer,ankouraje (aplodi),Haitian
urge,ankouraje (rekòmande),Haitian
encourage,ankouraje,Haitian
anxiety,anksyete,Haitian
atop,anlè (soutèt),Haitian
above,anlè (soutèt),Haitian
up,"  anlè (anro, soutèt) ",Haitian
over,anlè,Haitian
surface,anlè,Haitian
upstairs,anlè,Haitian
abduct,anlve,Haitian
bitter,anmè,Haitian
pay,anmèdan,Haitian
bother,"  anmède (anbete, traka, nwi) ",Haitian
annoy,anmède (anbete),Haitian
peeve,anmède,Haitian
let's,ann (annou),Haitian
a bunch,ann,Haitian
early,annavans,Haitian
just (in time),annik,Haitian
just,annik,Haitian
annoy,"  anniye (anmède, anbete) ",Haitian
bore,anniye,Haitian
golden,annò,Haitian
let's,annou,Haitian
announce,anonse,Haitian
anew,anouvo,Haitian
pack,anpakte (anbale),Haitian
impeach,"anpeche, revoke",Haitian
deter,anpeche,Haitian
prevent,anpeche,Haitian
 fancy,anpenpan,Haitian
"very (much),","  anpil (trè, bien) ",Haitian
 many,anpil (plizye),Haitian
most,anpil (plis),Haitian
(a) lot,anpil,Haitian
 bunch,anpil,Haitian
much,anpil,Haitian
plenty,anpil,Haitian
in place,anplas,Haitian
moreover,anplis,Haitian
employ,anplwaye,Haitian
employee,anplwaye,Haitian
pocket v,anpoche,Haitian
loan,anpren (v. prete),Haitian
haste,anpresman,Haitian
zeal,anprèsman,Haitian
jail (to put in jail),anprizone,Haitian
imprison,anprizone,Haitian
imprisonment,anprizonnman,Haitian
poison,anpwazonnen,Haitian
late,anreta (adv. ta),Haitian
overdue,anreta,Haitian
enrich,anrichi,Haitian
up,anro (soutèt),Haitian
over,anro (anlè),Haitian
enroll,anrole (rekrite),Haitian
draft,anrole,Haitian
along,ansanm,Haitian
together,ansanm,Haitian
healthy,ansante,Haitian
cancer,ansè,Haitian
circular,ansèk,Haitian
 secure,ansekirite,Haitian
pregnant,ansent (gròs),Haitian
expecting,ansent (gwòs),Haitian
teach,anseye,Haitian
assignment,ansèyman,Haitian
desire,ansi (vle),Haitian
uneven,ansibreka,Haitian
bewitch,ansòsele,Haitian
former,ansyen,Haitian
between,"  ant (nan mitan, omilye) ",Haitian
burial,antèman,Haitian
bury,antere,Haitian
caption,antèt (lejand),Haitian
determined,antete,Haitian
environment,antouraj,Haitian
surrounding,antouraj,Haitian
encircle,antoure,Haitian
surround,antoure,Haitian
rapt,antouzyas,Haitian
athwart,antravè,Haitian
entrance,antre (pòt),Haitian
come in,antre,Haitian
enter,antre,Haitian
penetrate,antre,Haitian
zest,antren,Haitian
enterprise,antrepriz,Haitian
venture,antrepriz,Haitian
anthropology,antropoloji,Haitian
entire,antye (tout),Haitian
whole,antye (tout),Haitian
before,anvan,Haitian
flood,anvayi,Haitian
quite,anverite (tou),Haitian
crave,anvi,Haitian
birthmark,anvi,Haitian
envy,anvi,Haitian
to feel like,anvi,Haitian
want,anvi,Haitian
around,anviron (anviwon),Haitian
environment,anviwènman (antouraj),Haitian
around,anviwon,Haitian
casing,"anvlòp, aman",Haitian
envelope,anvlòp,Haitian
envious,anvye,Haitian
annual,"  anyèl (chak ane, lan) ",Haitian
nothing,anyen,Haitian
aloud,aotvwa (byen fò),Haitian
be on one's way,ap rive,Haitian
 separate,apa (separe),Haitian
pace,apante,Haitian
mere,apèn,Haitian
appendix,apendis,Haitian
high,apik,Haitian
lean,apiye,Haitian
application,aplikasyon,Haitian
clap,aplodi (bat bravo),Haitian
cheer,aplodi,Haitian
learn,aprann,Haitian
after,apre (dèyè),Haitian
the day after tomorrow,aprè demen,Haitian
afternoon,aprèmidi,Haitian
appreciate,apresye,Haitian
apprehend,apreyande (arete),Haitian
approach,apròch (fason),Haitian
approach,apròch fason,Haitian
approach,aproche,Haitian
 approximate,aproksimatif,Haitian
approximate,aproksime,Haitian
about,apropo (a),Haitian
approve,aprouve,Haitian
cater,aprovizyone,Haitian
ability,aptitud,Haitian
apt,aptopriye,Haitian
ripe,apwen,Haitian
careful,apwofondi,Haitian
art,"ar, la",Haitian
herring,aran,Haitian
arrest,arestasyon,Haitian
apprehend,arete,Haitian
apprehend,arete,Haitian
arrest,arete,Haitian
book,arete,Haitian
detain,arete,Haitian
barren,arid (steril),Haitian
infertile,arid,Haitian
arrogant,arogan,Haitian
round,arondi,Haitian
baste,aroze,Haitian
artificial,artifisyèl,Haitian
idle,aryenafè,Haitian
assembly,asanble,Haitian
killer,asasen,Haitian
assail,asayi (atake),Haitian
ample,"  ase (gran, laj , sifizan) ",Haitian
plenty,ase (anpil),Haitian
quite,"  ase (anverite, tou) ",Haitian
enough,ase (kont),Haitian
 enough,ase,Haitian
relish,asezonman,Haitian
asphalt,asfalt,Haitian
pavement,asfalt,Haitian
acid,asid,Haitian
confident,asire (gen konfyans),Haitian
assure,asire,Haitian
sure,asire,Haitian
help,asistans (v. ede),Haitian
assistance,asistans,Haitian
association,asosyasyon,Haitian
associate,asosye,Haitian
angle,aspè,Haitian
aspect,aspè,Haitian
asterick,asteris*,Haitian
evening,"  aswè (sware, swa) ",Haitian
tonight,aswè,Haitian
steel,asye,Haitian
besiege,asyeje,Haitian
dish,asyèt (plat),Haitian
batter,at pou fri,Haitian
brace,atach,Haitian
brace,atach,Haitian
bow,"  atak (peryòd, kriz) ",Haitian
raid,atak (razya),Haitian
assail,atake,Haitian
attack,atake,Haitian
attention,atansyon,Haitian
careful,atantif (apwofondi),Haitian
attain,atenn (rive),Haitian
reach,"  atenn (rive, jwenn) ",Haitian
land,atèri,Haitian
land,atèri,Haitian
witness,ateste (wè),Haitian
attest,ateste,Haitian
boat,atifisyèl,Haitian
article,atik,Haitian
allure,atire,Haitian
attract,atire,Haitian
artistic,atistik,Haitian
mood,atitid,Haitian
attitude,atitud,Haitian
mood,atmosfè (atitid),Haitian
atmosphere,atmosfè,Haitian
then,atò,Haitian
atomic,atomik,Haitian
desperate,atoufè,Haitian
grasp,atrab,Haitian
across,atravè,Haitian
atrocious,atròs,Haitian
riot,atroupman,Haitian
will,av,Haitian
will,ava (va),Haitian
avaricious,ava,Haitian
vagabond,avadra,Haitian
avouch,avalide,Haitian
advance,avalwa,Haitian
before,avan (anvan),Haitian
dawn,avanjou,Haitian
advance,avans (avalwa),Haitian
advance,avanse (bay avalwa),Haitian
promote,avanse (monte grad),Haitian
forward,avanse,Haitian
advantage,avantij,Haitian
"blind, to blind",avèg (je pete),Haitian
 blind,avèg,Haitian
dazzle,avegle (pete) je,Haitian
with,avèk,Haitian
admonish,avèti,Haitian
warning,avètisman,Haitian
notice,avi (notis),Haitian
avid,avid (grangou),Haitian
debase,avili,Haitian
future,avni (lavni),Haitian
avenue,avnu,Haitian
esquire,avoka,Haitian
April,avril,Haitian
abrupt,"  avrip (brid sou kou, bripbrip) ",Haitian
oat,avwan,Haitian
plane (airplane),avyon,Haitian
irrigate,awoze,Haitian
tailor,ayè,Haitian
Haiti,Ayiti (Peyi Dayiti),Haitian
Souteast Asia,Azi di Disès,Haitian
East Asia,Azi de Lès,Haitian
haven,azil,Haitian
asylum,"azil,B,  b",Haitian
low,ba,Haitian
ring,bag,Haitian
item,bagay,Haitian
object,bagay,Haitian
thing,bagay,Haitian
scale,balans,Haitian
broom,bale,Haitian
vaccum cleaner,bale elektrik,Haitian
ball,balon,Haitian
bartender,bamann,Haitian
bank,bank,Haitian
gate,baryè,Haitian
beat,bat,Haitian
boat,bato,Haitian
give,bay,Haitian
base,baz,Haitian
beef,bèf,Haitian
"cattle, cow",bèf,Haitian
nice,bèl,Haitian
cute,bèl,Haitian
pretty,bèl,Haitian
beautiful,bèl,Haitian
mother-in-law,bèlmè,Haitian
bauty,bèlte,Haitian
benefit,benefis,Haitian
profit,benefis,Haitian
eggplant,berejèn,Haitian
seafood,bètlanmè,Haitian
beet,bètrav,Haitian
need,bezwen,Haitian
urge,bezwen prese,Haitian
purpose,bi,Haitian
goal,bi,Haitian
library,bibliotèk,Haitian
jewelry,bijou,Haitian
building,bilding,Haitian
bicycle,bisiklèt,Haitian
registrar's office,biwo enskripsyon,Haitian
office,biwo,Haitian
balloon,blad,Haitian
joke,blag,Haitian
white,blan,Haitian
blue,ble,Haitian
wheat,ble,Haitian
"wound, cut",blese,Haitian
kiss,bo,Haitian
son-in-law,bofis,Haitian
stepbrother,bòfrè,Haitian
jar,kokal,Haitian
bucket,bokit,Haitian
bowl,bòl,Haitian
maid,bòn,Haitian
