Word,Creole_word,Creole_name
mark or scar where a knife has cut,fáka  ,Saramaccan
sharp edge of the knife,fáka  ,Saramaccan
relatives,famíi,Saramaccan
talk,fan,Saramaccan
to speak,fan,Saramaccan
not acceptable,fánáfíti,Saramaccan
uncouth,fánáfíti,Saramaccan
careless,fanjanfanjan  ,Saramaccan
immoral,fanjanfanjan  ,Saramaccan
sloppy,fanjanfanjan  ,Saramaccan
to mess up,fanjanfanjan  ,Saramaccan
chatterbox,fanmá,Saramaccan
loquacious person,fanmá,Saramaccan
necessary,fanö́udu,Saramaccan
manner,fási  ,Saramaccan
to twist cotton or sisal into thread,fási  ,Saramaccan
reckless,fásífási,Saramaccan
cooking oil,fátu  ,Saramaccan
fat,fátu  ,Saramaccan
animosity,feánti,Saramaccan
fever,fë́bë,Saramaccan
jealousy,fédja,Saramaccan
Friday,fééda,Saramaccan
coward,fë́ë́ë́ma,Saramaccan
five,féífi  ,Saramaccan
paint,féífi  ,Saramaccan
Tuesday,féifídáka,Saramaccan
fifty,féífíténi,Saramaccan
oil,fékísi,Saramaccan
salve,fékísi,Saramaccan
Vicks,fékísi,Saramaccan
club,feléniki,Saramaccan
organization,feléniki,Saramaccan
metal,félu  ,Saramaccan
tool,félu  ,Saramaccan
break off,fë́n,Saramaccan
tear off,fë́n,Saramaccan
to acquire,féndi  ,Saramaccan
to find,féndi  ,Saramaccan
to take in sexual intercourse,féndi  ,Saramaccan
window,fë́nsë,Saramaccan
face,fési  ,Saramaccan
apron,fesikö́ki,Saramaccan
leader,fésima,Saramaccan
forehead,fésímíndi,Saramaccan
a former time,fésiten,Saramaccan
antiguity,fésiten,Saramaccan
fight,féti,Saramaccan
to fight,féti,Saramaccan
weapon(s),fétílái,Saramaccan
aggressive person,fétima  ,Saramaccan
wasp,fétima  ,Saramaccan
to argue,fiá  ,Saramaccan
to have a contest,fiá  ,Saramaccan
dissenter,fiáma,Saramaccan
liberty,fií  ,Saramaccan
your,fií  ,Saramaccan
yours,fií  ,Saramaccan
to feel,fíi  ,Saramaccan
free,fiífii,Saramaccan
kite,filígi,Saramaccan
airstrip,filígífëlíti,Saramaccan
finger,fínga,Saramaccan
to give a sharp pain,fingá  ,Saramaccan
to make firm in the ground,fingá  ,Saramaccan
to tuck in,fingá  ,Saramaccan
carefully,fíni  ,Saramaccan
in detail,fíni  ,Saramaccan
to interrogate,fíni  ,Saramaccan
fine (not rough),fínu,Saramaccan
thin,fínu,Saramaccan
"becoming, be",fíti,Saramaccan
to fit,fíti,Saramaccan
crowded (e.g. path),fitjá  ,Saramaccan
overgrown,fitjá  ,Saramaccan
to trust in,fitoóu,Saramaccan
trust,fitoóu,Saramaccan
four,fö́,Saramaccan
Monday,fö́dáka,Saramaccan
whistle,fofío,Saramaccan
square,fö́kánti,Saramaccan
flower,foló,Saramaccan
flute,foloíti,Saramaccan
fork,fö́lúku  ,Saramaccan
general public,fö́lúku  ,Saramaccan
agitate,fón  ,Saramaccan
blink,fón  ,Saramaccan
nod,fón  ,Saramaccan
to beat,fón  ,Saramaccan
to beat up,fón  ,Saramaccan
to pound,fón  ,Saramaccan
photograph,fóótóo,Saramaccan
first,fósu,Saramaccan
formerly,fósufósu,Saramaccan
forty,fö́téni,Saramaccan
Paramaribo,fóto,Saramaccan
bird,fóu,Saramaccan
mistake,fö́útu,Saramaccan
thief,fufúuma,Saramaccan
birthday,fujái,Saramaccan
distress,fuká,Saramaccan
to distress,fuká,Saramaccan
lungs,fuköfukö,Saramaccan
sawdust,fukufuku,Saramaccan
to pierce,fulá  ,Saramaccan
to rip or rend.,fulá  ,Saramaccan
to spray from the mouth,fulá  ,Saramaccan
to take a short cut,fulá  ,Saramaccan
soft,fulufulu,Saramaccan
spongy,fulufulu,Saramaccan
bottomless place in water,fundá  ,Saramaccan
deep,fúndu,Saramaccan
disappear,fusí,Saramaccan
sneak off,fusí,Saramaccan
to understand,fusután,Saramaccan
understanding,fusután,Saramaccan
detail,fútu  ,Saramaccan
foot,fútu  ,Saramaccan
leg,fútu  ,Saramaccan
way,fútu  ,Saramaccan
lap,fútúlíba,Saramaccan
full,fúu,Saramaccan
to fill,fúu,Saramaccan
"bore, to",fuuféi,Saramaccan
"tired of, get",fuuféi,Saramaccan
curse,fuúku  ,Saramaccan
early,fuúku  ,Saramaccan
contraction: for you (pl.),fuúnu  ,Saramaccan
fruit,fuúta,Saramaccan
quick,gaagaa,Saramaccan
bromfiets,gaamákö́nú wági,Saramaccan
great,gaán  ,Saramaccan
older,gaán  ,Saramaccan
tarantula,gaán adjáansi,Saramaccan
impertinence,gaán búka,Saramaccan
pride,gaán fási,Saramaccan
thumb,gaán fínga,Saramaccan
bedspread,gaán kóósu,Saramaccan
ancestor,gaán sëmbë  ,Saramaccan
older person,gaán sëmbë  ,Saramaccan
snobbishness,gaán wómí fási,Saramaccan
God,Gaángádu,Saramaccan
sky,gaángádu,Saramaccan
thunder,gaángádú bái,Saramaccan
lighting,gaángádú kóti fája,Saramaccan
creek,Gaángoón,Saramaccan
hill,Gaángoón,Saramaccan
March,gaánlíba,Saramaccan
Thursday,gaánsaba,Saramaccan
please,gaántangi,Saramaccan
energy,gaapí,Saramaccan
glass,gaási  ,Saramaccan
hawk,gabián,Saramaccan
bare,gaboo,Saramaccan
wide open,gaboo,Saramaccan
god,gádu,Saramaccan
spirit,gádu,Saramaccan
pineapple,gádúbói,Saramaccan
birthmark,gádúmááka,Saramaccan
altar,gádútáfa,Saramaccan
godhouse,gádúwósu  ,Saramaccan
to compliment,gafá,Saramaccan
to praise,gafá,Saramaccan
mosquito net,gaidé,Saramaccan
aluminum,galimö́,Saramaccan
the area where people live,gandá  ,Saramaccan
crocodile,gandí,Saramaccan
sour,gándji  ,Saramaccan
to speak sharply,gándji  ,Saramaccan
piranha,gándjífísi,Saramaccan
neck,gangáa,Saramaccan
phlegm,gangáá wáta,Saramaccan
chicken,ganían,Saramaccan
to comfort,ganján  ,Saramaccan
to pretend,ganján  ,Saramaccan
to trick,ganján  ,Saramaccan
deceiver,ganjánma,Saramaccan
cooking pot,gansë́  ,Saramaccan
fast,gáu,Saramaccan
"meat, fish",gbamba  ,Saramaccan
enamel,gbangbán,Saramaccan
eagle,gbaniní,Saramaccan
turtle,gbegú,Saramaccan
absolutely,gbélín  ,Saramaccan
pretty,gbélín  ,Saramaccan
pure,gbélín  ,Saramaccan
really,gbélín  ,Saramaccan
strong,gbélín  ,Saramaccan
scum,gbënëgbë́në,Saramaccan
dwarfed,gbi  ,Saramaccan
plop,gbi  ,Saramaccan
ruined during cooking,gbi  ,Saramaccan
without feeling,gbi  ,Saramaccan
hazy,gbitii,Saramaccan
many,gbitii,Saramaccan
burial place,geébi,Saramaccan
gills,geéja  ,Saramaccan
uvula,geéja  ,Saramaccan
bell,gengé,Saramaccan
stingy,giíi,Saramaccan
to grunt,giintá,Saramaccan
to roar,giintá,Saramaccan
rub,gili  ,Saramaccan
scrub,gili  ,Saramaccan
guitar,gitáli,Saramaccan
away,gó  ,Saramaccan
to go,gó  ,Saramaccan
back of something,gogó  ,Saramaccan
bottom,gogó  ,Saramaccan
rump,gogó  ,Saramaccan
trellis,gölë́ti,Saramaccan
cake,góma  ,Saramaccan
gun,góni,Saramaccan
to grow or expand,göö́  ,Saramaccan
domineering,goófu,Saramaccan
impolite,goófu,Saramaccan
Adam’s apple,göögö́ö  ,Saramaccan
chicken craw,göögö́ö  ,Saramaccan
field for planting,goón  ,Saramaccan
ground,goón  ,Saramaccan
millipede,göö́ngö́ö,Saramaccan
world,goónlíba,Saramaccan
foundation,goónséi,Saramaccan
gold,góútu,Saramaccan
brush or overgrowth of weeds,gudjugudju  ,Saramaccan
ideophone for shaking,gudjugudju  ,Saramaccan
rich,gúdu,Saramaccan
riches,gúdu,Saramaccan
dust,gudugúdu,Saramaccan
"fine, loose dirt",gudugúdu,Saramaccan
chigger,gudugúdú bítju,Saramaccan
sand flea,gudugúdú bítju,Saramaccan
vegetables,gulúntu,Saramaccan
to complain,guunján  ,Saramaccan
to talk negatively about someone,guunján  ,Saramaccan
to be acquainted with someone,guwénti  ,Saramaccan
to be used to something,guwénti  ,Saramaccan
exactly right,háánse,Saramaccan
just enough,háánse,Saramaccan
half,háfu,Saramaccan
some,háfu,Saramaccan
pellets,hága,Saramaccan
hog,hágu,Saramaccan
pig,hágu,Saramaccan
haul,hái  ,Saramaccan
pull,hái  ,Saramaccan
pull in,hái  ,Saramaccan
binoculars,háiko,Saramaccan
hammer,háma,Saramaccan
clothes hanger,hánga  ,Saramaccan
to hang (oneself),hánga  ,Saramaccan
hunger,hángi  ,Saramaccan
to long for,hángi  ,Saramaccan
anchor,hánka,Saramaccan
hatchet,hánmbei,Saramaccan
attractive,hánse,Saramaccan
ant,hánsi,Saramaccan
wing,hánza,Saramaccan
boat-billed heron,hápapa,Saramaccan
night herons,hápapa,Saramaccan
horse,hási,Saramaccan
heart,háti  ,Saramaccan
inflict pain,háti  ,Saramaccan
to hurt,háti  ,Saramaccan
anger,hátíbóónu,Saramaccan
chest,hátímíndi,Saramaccan
covetousness,haún  ,Saramaccan
to be jealous or covetous,haún  ,Saramaccan
heavy,hébi  ,Saramaccan
high in social structure,hébi  ,Saramaccan
important,hébi  ,Saramaccan
head,hédi  ,Saramaccan
skull,hédíbónu,Saramaccan
hair,hédíúwíi,Saramaccan
help,heépi,Saramaccan
to help,heépi,Saramaccan
high,héi  ,Saramaccan
woe,helú,Saramaccan
shirt,hë́mpi,Saramaccan
conjunction used at beginning of clause to indicate another step in the narrative,hën  ,Saramaccan
third person emphatic pronoun,hën  ,Saramaccan
to hang,hë́ngi  ,Saramaccan
to lean,hë́ngi  ,Saramaccan
cacique,hë́no,Saramaccan
cowbirds,hë́no,Saramaccan
grackles,hë́no,Saramaccan
quickly,hésíhésí,Saramaccan
suddenly,hésíhésí,Saramaccan
much,hía,Saramaccan
everyone,híbiwán,Saramaccan
all,híi  ,Saramaccan
all the time,híniwánten,Saramaccan
often,híniwánten,Saramaccan
"pile, a",hípi  ,Saramaccan
whip,hípi  ,Saramaccan
to throw,híti  ,Saramaccan
bad,hógi  ,Saramaccan
evil,hógi  ,Saramaccan
misfortune,hógi  ,Saramaccan
to be mean,hógi  ,Saramaccan
evilhearted,hógiháti,Saramaccan
to yawn,hóha,Saramaccan
yawn,hóha,Saramaccan
to hold,hói,Saramaccan
to keep,hói,Saramaccan
expression of disdain,hön  ,Saramaccan
to uproot,hön  ,Saramaccan
hunt,hö́ndi,Saramaccan
to hunt,hö́ndi,Saramaccan
hunter,hö́ndima,Saramaccan
June,hö́ndima líba,Saramaccan
hundred,hö́ndö,Saramaccan
bee,hö́ni,Saramaccan
honey,hö́níwáta,Saramaccan
get up,hópo  ,Saramaccan
lift up,hópo  ,Saramaccan
praise,hópo  ,Saramaccan
stand up,hópo  ,Saramaccan
to erect,hópo  ,Saramaccan
corner,húku  ,Saramaccan
hook,húku  ,Saramaccan
to examine,hulu  ,Saramaccan
to frequent person or place,hulu  ,Saramaccan
an expression of disdain,hun  ,Saramaccan
gizzard,húngö,Saramaccan
fingernail,húnjan  ,Saramaccan
to scratch,húnjan  ,Saramaccan
toenail,húnjan  ,Saramaccan
Amerindian,íngi,Saramaccan
every,íniwán,Saramaccan
"sling, to",jaa,Saramaccan
sow seed,jaa,Saramaccan
throw,jaa,Saramaccan
year,jáa,Saramaccan
to open,jabí  ,Saramaccan
to spread (something) out,jabí  ,Saramaccan
el (measurement),jái  ,Saramaccan
New Year's Day.,jái  ,Saramaccan
January,jáílíba,Saramaccan
loose living,jajó  ,Saramaccan
